"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","date"
"40","Take all the love you have for her, Pablo, and give it freely to all that you meet. Your mom will look down upon yo… https://t.co/b33iAGNBuX",FALSE,1769,NA,2018-03-26 01:33:31,TRUE,NA,"978082487938068480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","normmacdonald",277,FALSE,FALSE,NA,NA,2018-03-26
"41","a few notes:

- emo rats play the sims live tomorrow w/ @EvaDeMuro on twitch at 4 PM PST 

- happy 10 years Pretty.… https://t.co/VL7sSjdz4S",FALSE,3764,NA,2018-03-26 01:42:15,TRUE,NA,"978084686059642881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CrankThatFrank",495,FALSE,FALSE,NA,NA,2018-03-26
"42","....lawyer or law firm will take months to get up to speed (if for no other reason than they can bill more), which… https://t.co/VNRpirZlPZ",FALSE,77563,NA,2018-03-25 11:49:16,TRUE,NA,"977875057572745216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17202,FALSE,FALSE,NA,NA,2018-03-25
"43","Con enorme alegría os presentamos a Alejandro. Ha nacido (el domingo de Ramos <ed><U+00A0><U+00BD><ed><U+00B9><U+0088><ed><U+00A0><U+00BD><ed><U+00B8><U+0089>) a las 18:24h y ha pesado 3,1kg. L… https://t.co/XPNoKRouOz",FALSE,48075,NA,2018-03-25 19:46:45,TRUE,NA,"977995220687228929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SergioRamos",8292,FALSE,FALSE,NA,NA,2018-03-25
"44","<ed><U+00A0><U+00BC><ed><U+00BE><U+0089>Happy Birthday<ed><U+00A0><U+00BC><ed><U+00BE><U+0081>3<U+6708>26<U+65E5><U+306F><U+5BAE><U+539F><U+77E5><U+5B50><U+9078><U+624B><U+3001><U+4E8C><U+5341><U+6B73><U+306E><U+8A95><U+751F><U+65E5><ed><U+00A0><U+00BE><ed><U+00B5><U+0082><U+2728>
<U+524D><U+65E5><U+306B><U+4E00><U+8DB3><U+65E9><U+304F><U+304A><U+795D><U+3044><U+3057><U+307E><U+3057><U+305F><ed><U+00A0><U+00BC><ed><U+00BE><U+0082>
<U+4E8C><U+5341><U+6B73><U+306E><U+62B1><U+8CA0><U+306F><U+300C><U+3061><U+3083><U+3093><U+3068><U+3057><U+305F><U+5927><U+4EBA><U+306B><U+306A><U+308A><U+307E><U+3059><U+300D><U+3060><U+305D><U+3046><U+3067><U+3059><U+263A><U+FE0F><U+270C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>
4/3<U+306E><U+59CB><U+7403><U+5F0F><U+306E><U+7DF4><U+7FD2><U+3082><U+6020><U+308B><U+3053><U+3068><U+306E><U+306A><U+3044><U+30DE><U+30B8><U+30E1><U+306A><U+5BAE><U+539F><U+9078><U+624B><ed><U+00A0><U+00BD><ed><U+00B8><U+0089>… https://t.co/iFsT9smgeP",FALSE,7277,NA,2018-03-25 22:29:46,TRUE,NA,"978036243840884736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","online_on_ice",3072,FALSE,FALSE,NA,NA,2018-03-25
"45","honestly the small things in life make me happy",FALSE,6797,NA,2018-03-25 21:14:48,FALSE,NA,"978017378423341056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wolfiecindy",2704,FALSE,FALSE,NA,NA,2018-03-25
"46","Been friends forever &amp; happy to stand with you on important days like this! https://t.co/gtb5GnFaDp",FALSE,119822,NA,2018-03-24 20:26:21,FALSE,NA,"977642797443502080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MileyCyrus",23521,FALSE,FALSE,NA,NA,2018-03-24
"47","[#Near_by_TWICE] 
Happy Birthday MINA <U+2665>

https://t.co/31awbEkKrq

#HappyMINAday",FALSE,32736,NA,2018-03-24 12:10:05,FALSE,NA,"977517907545554944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JYPETWICE",7711,FALSE,FALSE,NA,NA,2018-03-24
"48","Happy #NationalPuppyDay to my son Bark Vader https://t.co/JBW4jpxj6k",FALSE,22578,NA,2018-03-24 06:30:19,FALSE,NA,"977432405337239552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KhadiDon",4793,FALSE,FALSE,NA,NA,2018-03-24
"49","#MUSICBANKinChile
Thanks Music Bank for giving me the opportunity to be in Chile! This will stay with me as a happy… https://t.co/SLiA5Ni9uY",FALSE,40582,NA,2018-03-25 01:50:59,TRUE,NA,"977724494650494976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BOGUMMY",12983,FALSE,FALSE,NA,NA,2018-03-25
"50","Happy Birthday to my bff, homie, lover, friend... the finest thing I've ever seen <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Welcome to 30 @BigSean !!! I love u forever <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>",FALSE,57205,NA,2018-03-25 07:00:54,FALSE,NA,"977802489897435137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JheneAiko",9503,FALSE,FALSE,NA,NA,2018-03-25
"51","I wish I could be there but im so happy to see so many people showing up and standing up for what they believe in.… https://t.co/6eIX4UqSt1",FALSE,12677,NA,2018-03-24 21:23:12,TRUE,NA,"977657103010627584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DUALIPA",3089,FALSE,FALSE,NA,NA,2018-03-24
"52","happy birthday to this sweet angel. Today I march for you. #marchforourlives #neveragain https://t.co/fc6cfAFImh",FALSE,28742,NA,2018-03-24 11:36:42,FALSE,NA,"977509506228908034",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","longlivekcx",4583,FALSE,FALSE,NA,NA,2018-03-24
"53","I’m so happy I got to share this moment with these two <U+2764><U+FE0F><U+2764><U+FE0F> . I hope North remembers this forever https://t.co/wJRRAvW9tC",FALSE,88549,NA,2018-03-24 19:18:32,FALSE,NA,"977625732376612866",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KimKardashian",7133,FALSE,FALSE,NA,NA,2018-03-24
"54","Today, choose to be happy.",FALSE,6645,NA,2018-03-25 04:48:40,FALSE,NA,"977769208686682112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ohteenquotes",5597,FALSE,FALSE,NA,NA,2018-03-25
"55","Samantha Fuentes was shot in the leg... threw up during her speech, sang her friend happy birthday and finished it… https://t.co/Kb8Fb8z7fG",FALSE,9141,NA,2018-03-24 20:14:38,TRUE,NA,"977639851733520384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lennyjacobson",2291,FALSE,FALSE,NA,NA,2018-03-24
